Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
ON,1,12.4,0.0,0.0,1.0,0.0,30.9,37,30.0,-27.7,-37,-30.0,0.0,1.0,93.0,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,32.0,35,30.0,-30.9,-35,-30.0,0.0,1.0,93.4,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.9,35,30.0,-30.9,-33,-30.0,0.0,1.0,95.1,0.0
ON,1,10.1,0.0,0.0,1.0,0.0,30.4,35,30.0,-28.8,-35,-30.0,0.0,1.0,92.1,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,29.8,37,30.0,-29.8,-35,-30.0,0.0,1.0,94.2,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,32.0,35,30.0,-29.8,-35,-30.0,0.0,1.0,94.4,0.0
ON,1,9.1,0.0,0.0,1.0,0.0,30.4,35,30.0,-29.8,-35,-30.0,0.0,1.0,90.4,0.0
ON,1,9.5,0.0,0.0,1.0,0.0,30.4,35,30.0,-30.4,-33,-30.0,0.0,1.0,92.4,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.3,35,30.0,-28.7,-35,-30.0,0.0,1.0,93.0,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,29.8,37,30.0,-29.8,-35,-30.0,0.0,1.0,92.2,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,32.0,35,30.0,-30.4,-33,-30.0,0.0,1.0,94.2,0.0
ON,1,11.1,0.0,0.0,1.0,0.0,30.4,35,30.0,-29.3,-33,-30.0,0.0,1.0,94.4,0.0
ON,1,9.5,0.0,0.0,1.0,0.0,30.4,35,30.0,-28.2,-35,-30.0,0.0,1.0,95.3,0.0
ON,1,9.7,0.0,0.0,1.0,0.0,29.8,37,30.0,-29.8,-35,-30.0,0.0,1.0,93.0,0.0
ON,1,10.5,0.0,0.0,1.0,0.0,31.4,35,30.0,-30.4,-33,-30.0,0.0,1.0,92.8,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.9,35,30.0,-29.3,-33,-30.0,0.0,1.0,91.3,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.3,35,30.0,-28.1,-35,-30.0,0.0,1.0,93.6,0.0
